source	target
BATF	IFI35
COPS6	VIM
COPS6	RPA2
COPS6	PFKL
COPS6	MAP7D1
COPS6	EDN1
COPS6	SAT1
COPS6	CDKN1A
COPS6	DDA1
CDKN1A	BAT3
CDKN1A	ACTB
CDKN1A	CDK4
CDKN1A	CCND1
CDKN1A	JUN
CDKN1A	CREBBP
CDKN1A	COPS6
HSF1	EEF1G
HSF1	MAPK3
EDNRA	EDN1
MAP7D1	COPS6
MAP7D1	ATN1
ATN1	TRIP6
ATN1	BAT3
ATN1	PDCD6IP
ATN1	VIM
ATN1	PFKL
ATN1	IRF9
ATN1	FBLN1
ATN1	MAP7D1
GRB2	RRAS
GRB2	EEF1G
GRB2	HRAS
GRB2	CBR1
GRB2	CCL5
GRB2	FYN
GRB2	B2M
GRB2	ECHS1
GRB2	ADRB2
CDC42	RAC1
CDC42	A2M
CDC42	BAIAP2
CDC42	AKT1
CDC42	CDKN1A
CDC42	PRKCZ
CDC42	TRIP10
CDC42	EEF1G
CDC42	KAT5
CDC42	ARHGDIA
CDC42	GRB2
PRKRA	NS1
PRKRA	COPS6
PRKRA	PRPSAP1
PRKRA	POLR2G
PRKRA	RPL36
PRKRA	SHC1
PRKRA	SETDB1
M1	STAU1
M1	PRKRA
JUN	CREB3
JUN	PPP4C
JUN	IRAK1
JUN	COBRA1
JUN	CREBBP
JUN	ELF3
JUN	MUC1
JUN	NCOR2
JUN	GNB2L1
JUN	STAT3
JUN	IKBKB
JUN	BATF
JUN	ABL1
JUN	ATF3
JUN	ATF4
JUN	MAPK3
JUN	CDKN1A
JUN	CEBPA
JUN	BCL3
JUN	BCL6
JUN	RELA
RPS17	FOS
UBE2D2	STUB1
UBE2D2	NFKBIA
UBE2D2	RNF126
UBE2D2	ELF3
UBE2D2	RPS17
LMO2	RELA
LMO2	HNRNPM
LMO2	GATA2
LMO2	AXIN1
LMO2	DAZAP2
NCAPH2	LMO2
CD93	FAM46A
MYD88	FADD
MYD88	CD93
